step,loss,effective_batch_size,world_size,accum_steps,timestamp
1,27.24361228942871,16,2,4,1769813350
2,34.44082260131836,16,2,4,1769813350
3,13.248546600341797,16,2,4,1769813350
4,20.751367568969727,16,2,4,1769813350
5,6.1099958419799805,16,2,4,1769813350
6,5.348371505737305,16,2,4,1769813350
7,0.06937167048454285,16,2,4,1769813350
8,2.466458559036255,16,2,4,1769813350
9,4.387282848358154,16,2,4,1769813350
10,5.785825252532959,16,2,4,1769813350
11,0.10145960748195648,16,2,4,1769813350
12,7.290139198303223,16,2,4,1769813350
13,1.6290545463562012,16,2,4,1769813350
14,2.138899087905884,16,2,4,1769813350
15,0.9768784046173096,16,2,4,1769813350
16,1.83554208278656,16,2,4,1769813350
17,8.273778915405273,16,2,4,1769813350
18,0.0003845691680908203,16,2,4,1769813350
19,7.900873184204102,16,2,4,1769813350
20,0.043291281908750534,16,2,4,1769813350
21,2.2681498527526855,16,2,4,1769813350
22,1.4516046047210693,16,2,4,1769813350
23,4.137812614440918,16,2,4,1769813350
24,6.79017448425293,16,2,4,1769813350
25,4.193202018737793,16,2,4,1769813350
26,0.5953174829483032,16,2,4,1769813350
27,0.9796125292778015,16,2,4,1769813350
28,0.5585602521896362,16,2,4,1769813350
29,1.193839430809021,16,2,4,1769813350
30,1.8187892436981201,16,2,4,1769813350
31,1.274897575378418,16,2,4,1769813350
32,0.2982637584209442,16,2,4,1769813350
33,2.4768428802490234,16,2,4,1769813350
34,0.21415004134178162,16,2,4,1769813350
35,0.8678572773933411,16,2,4,1769813350
36,2.187882661819458,16,2,4,1769813350
37,0.33684611320495605,16,2,4,1769813350
38,0.2060408741235733,16,2,4,1769813350
39,0.6749240159988403,16,2,4,1769813350
40,1.3134428262710571,16,2,4,1769813350
41,1.688546061515808,16,2,4,1769813350
42,0.9940322041511536,16,2,4,1769813350
43,1.1043779850006104,16,2,4,1769813350
44,0.3520079255104065,16,2,4,1769813350
45,0.34303218126296997,16,2,4,1769813350
46,0.48283737897872925,16,2,4,1769813350
47,1.2753407955169678,16,2,4,1769813350
48,0.6081498861312866,16,2,4,1769813350
49,1.0477144718170166,16,2,4,1769813350
50,1.6138286590576172,16,2,4,1769813350
