home_rest_days,away_rest_days,home_elo,away_elo,win
0,3,1584.5108468824706,1498.3924361299362,1
3,2,1439.5824464466384,1373.2626928902519,0
2,3,1280.8373502168417,1407.0951836221923,1
1,3,1358.6430481495956,1410.2747150977873,0
1,2,1613.7301582465766,1561.128657894702,1
3,1,1467.899604854414,1519.6283958857932,1
0,2,1439.942030538791,1548.8848960059154,0
2,1,1631.4128234748987,1352.8276008158027,1
0,2,1601.2127956390661,1381.3146651158718,1
0,3,1501.955897753583,1553.0572352205197,0
2,1,1476.5277527148821,1277.706428666716,1
3,2,1489.43190297495,1597.9703486079843,0
2,0,1518.1730238709972,1354.134628518177,1
3,2,1628.0037825055686,1567.4675913539982,1
2,1,1533.797393938978,1428.913230019443,1
3,1,1558.0823226431312,1583.9122972137266,1
2,2,1593.5416087256137,1756.6528731133196,0
0,0,1406.4259199180465,1318.14578959031,0
3,2,1560.3889513979234,1555.6301718288519,0
1,2,1476.434499627071,1355.3469829125008,1
2,1,1298.7123843381787,1534.1415137774004,0
1,0,1329.746436641135,1483.4582269158484,0
0,1,1418.5505910785052,1510.3825857969475,0
3,0,1542.4978582874064,1427.065097893741,1
3,1,1509.1039652272236,1562.44328875972,1
2,2,1514.7493365740531,1384.1313729623696,1
1,0,1656.0754786149355,1599.3309810318992,1
3,2,1398.472830811215,1467.2599754711855,0
2,0,1497.8053316653022,1387.7847458077529,1
1,3,1524.3548418251053,1627.5949458672558,1
1,2,1441.098150676933,1494.6125877752677,0
0,1,1502.2661396066353,1652.6108776353622,0
0,2,1372.0040532732523,1597.7084903450673,0
2,0,1612.7924973820022,1436.1483436170852,1
3,0,1445.4708357975653,1493.2008159250602,0
0,3,1662.5120131822803,1509.683035173086,1
3,3,1497.4020540866036,1622.104255998915,0
3,0,1582.2442852319346,1535.0014170693692,1
1,1,1495.7357704807077,1514.1034096877167,1
2,0,1497.5404934191577,1484.0096330321353,0
0,1,1453.2776533422393,1495.955437131629,0
3,1,1509.5299143493023,1604.367366854266,0
2,1,1525.4398955531237,1500.296428063798,0
1,2,1437.2593192867855,1468.400218296146,0
0,0,1489.9964467312093,1454.839426750905,0
3,3,1451.1920907154308,1455.698787693107,0
1,2,1683.973125569187,1387.8323203165787,1
3,3,1492.8215384070704,1439.9699753338816,1
2,0,1623.6185721357247,1619.873622052026,1
3,2,1484.350213535385,1483.4720591546002,1
3,3,1520.7430113227927,1556.352933484488,0
0,0,1394.2908742683785,1301.6994785679333,1
1,3,1464.2341926505708,1545.4649047172704,0
1,1,1516.8427736631397,1487.091783650471,1
1,3,1626.8803064767894,1461.4847981687592,1
0,1,1517.7586222141017,1514.4767965936906,0
2,3,1610.69762889544,1460.3339796950377,1
0,0,1551.2583288162336,1330.0900064089315,0
2,1,1630.1921071571749,1573.779835293755,1
2,1,1495.2766226155957,1519.4414049078555,1
3,0,1691.2178168521443,1474.884603620172,1
2,1,1461.1683037668702,1422.705170234205,0
1,1,1438.6830532641866,1382.4113987114292,0
3,0,1403.1957720248772,1517.9114165654446,1
1,2,1686.4819737246457,1629.0752768180287,1
1,2,1565.5558058094318,1516.253318139283,0
3,3,1473.2703413295753,1389.379071512574,0
1,2,1599.9218157498797,1518.0093381630722,1
0,0,1555.0153748094226,1495.7325630202618,1
1,0,1657.2901977100473,1569.1234900859383,1
3,1,1376.173373380807,1548.538654192938,1
0,1,1478.7711913348596,1261.1341972712062,0
1,0,1462.998289284574,1543.6193763542765,0
0,3,1342.105385887312,1419.7216472396733,0
2,2,1584.8261763823755,1386.2617006841042,0
1,2,1478.3682755357313,1484.922127170115,1
1,0,1559.170496398925,1532.877688722401,0
0,3,1688.781754746369,1368.741231177054,1
2,0,1471.7405046537913,1556.3661133646042,1
2,1,1466.3077613874275,1561.067107802528,0
3,1,1509.4931335779197,1503.7580957039597,1
1,3,1578.9797882386729,1430.590109581836,0
0,1,1454.662957975188,1421.6497596648567,0
3,0,1449.5230722294295,1582.0745705264183,0
2,1,1584.5751416193093,1379.1021850803277,0
2,1,1530.2911459070428,1585.1576368655342,1
0,0,1336.4217389596142,1486.784067269565,1
1,0,1401.9686560424714,1492.3332400285715,0
3,0,1620.0988691061768,1363.352983566934,1
3,1,1532.154262646305,1488.2626695897131,0
1,1,1439.02432551702,1549.08684128091,1
3,1,1486.3672274212015,1393.0871929718414,1
3,2,1501.0589338241336,1539.8908693801477,1
1,0,1558.8586688224132,1507.1209802943217,0
3,3,1391.3389284112968,1448.4995508934155,0
1,3,1432.7240689063633,1568.3738469193045,0
0,0,1521.8364603890711,1323.8194584817156,1
2,1,1492.013233560364,1527.7344598994966,0
2,0,1545.7487346109367,1629.5548126458634,1
0,1,1401.6394082112322,1615.1954511280528,0
3,1,1528.5702941017057,1531.1845376430817,1
0,0,1587.3266895501977,1475.8655379095323,1
3,0,1538.9454837719427,1449.1357954761895,1
0,1,1511.1289391809273,1475.7659364875487,1
3,2,1492.3293117947223,1543.5045798334324,0
3,1,1433.21190777828,1435.4204955632467,0
3,3,1494.2401126048169,1560.5939054440305,1
2,1,1600.7764682304326,1670.652841440266,1
1,3,1490.47771947199,1495.0493411898085,0
2,0,1428.8156808521271,1392.4484157373356,0
1,2,1460.620232898769,1392.420420294687,0
3,3,1516.0680237820743,1562.125244136926,1
2,0,1470.1188802255322,1495.2203056831645,1
1,3,1538.8242626450512,1570.1464716851242,0
2,1,1541.8275008599223,1457.3092600672521,1
2,1,1571.1186544323718,1566.4498838031866,1
0,2,1613.8847577812026,1487.336066124022,0
0,2,1579.6686979497888,1441.399675574084,1
0,0,1425.2608748681632,1467.9201216958093,0
0,3,1427.7172442738981,1404.235651566141,0
1,2,1493.9382818832141,1659.148764686529,1
2,3,1463.9059714208468,1492.2894549153211,0
2,1,1408.9338618431245,1551.5611270945756,0
1,2,1464.6646564661605,1457.050469370336,0
3,1,1462.038965310477,1415.8457742416142,0
2,3,1446.2521808191036,1481.289559126565,0
0,3,1474.7368411075995,1588.095402670336,1
3,3,1594.2760680254664,1458.3414566881372,0
2,2,1515.9390432999392,1430.3574421816468,0
2,3,1697.7447260844376,1512.4371395495314,1
2,1,1513.640654881572,1539.9218080574196,0
2,1,1476.7947380850198,1631.4278535082547,1
0,3,1500.3306306123893,1528.3000382697996,0
2,0,1520.5193582754832,1551.5194142824987,1
3,2,1534.820316573685,1557.5420189536258,1
1,0,1666.1369060687218,1407.7587694453896,0
2,2,1432.3743628017944,1422.9334343624364,0
0,1,1568.723684654219,1413.288296831548,0
1,1,1516.6200478091298,1393.4283395446682,1
1,1,1374.3121805943506,1563.6367899896322,1
3,1,1561.655902567581,1523.2040073331004,1
0,1,1601.4098848643123,1506.359685047316,1
1,1,1431.4258876978056,1292.5826787678184,0
1,2,1499.2852905686423,1664.4381486894895,0
3,3,1361.9716590393837,1428.4582396677156,1
3,2,1399.295483225253,1664.1450204751166,1
0,2,1583.84236620938,1384.0606815478948,1
0,3,1462.6866795194053,1435.007907315477,0
3,3,1411.295762004957,1323.7720493992297,0
0,0,1518.3568291566744,1528.9699980754158,1
3,2,1458.207005485518,1411.8994543351014,1
1,0,1462.334267377957,1414.1599876721316,1
3,0,1559.1460820539924,1390.1988626260481,1
1,3,1407.0613312852522,1562.188405019029,0
1,0,1427.5707829854534,1556.9170921254038,0
2,3,1512.3263993719095,1644.962711286303,1
0,3,1577.5527832598564,1445.1434703141622,0
2,3,1599.052824119188,1517.505549683744,1
2,2,1446.7950623710701,1396.853184207844,1
3,3,1574.990157353572,1473.1968781811745,1
3,0,1437.2686165223672,1458.4923749375057,1
2,3,1646.096747752544,1537.1559965996337,1
1,0,1409.2983179664218,1581.3617445134553,0
1,1,1606.2783048633385,1579.28533526652,0
1,0,1447.481111454502,1432.575018222591,1
3,1,1661.059716383568,1579.8774323698399,1
1,2,1547.3056583081986,1496.4731890313763,1
0,1,1418.7186776473422,1474.032248328239,0
1,3,1458.2209216365995,1443.3190810544866,1
0,2,1562.4944964178994,1455.2051364510758,0
0,2,1584.211553409245,1639.3851076956987,1
0,3,1494.342752662043,1524.592861319522,0
3,1,1503.5726624770773,1513.9689478000964,0
2,1,1560.6682426115253,1479.0202513170443,1
2,3,1510.5438741608657,1695.6782889150422,0
1,2,1396.51961125293,1604.400839107714,1
2,2,1434.9620780287855,1442.3150308160966,0
0,1,1518.8095954521332,1478.11079562363,1
3,0,1597.2385933198154,1482.8604365303272,1
2,0,1629.2785939329638,1511.669758262608,1
3,0,1562.362353661716,1443.9019205894851,1
0,0,1522.983260882909,1535.1053218689358,0
1,2,1559.9051108785982,1616.167050563145,0
2,0,1446.6599319834515,1394.909751279667,1
1,2,1487.741523179343,1409.7482610326347,1
1,3,1434.0695422928418,1461.3473155762154,0
0,3,1400.100591143383,1465.0563551913735,0
